sample,fastq_1,fastq_2
278,../fastq/278_C7JRYANXX_ATGTCA_L005_R1.fastq.gz,../fastq/278_C7JRYANXX_ATGTCA_L005_R2.fastq.gz
278,../fastq/278_C80GMANXX_ATGTCA_L005_R1.fastq.gz,../fastq/278_C80GMANXX_ATGTCA_L005_R2.fastq.gz
279,../fastq/279_C7JRYANXX_CCGTCC_L005_R1.fastq.gz,../fastq/279_C7JRYANXX_CCGTCC_L005_R2.fastq.gz
279,../fastq/279_C80GMANXX_CCGTCC_L005_R1.fastq.gz,../fastq/279_C80GMANXX_CCGTCC_L005_R2.fastq.gz
280,../fastq/280_C7JRYANXX_GTCCGC_L005_R1.fastq.gz,../fastq/280_C7JRYANXX_GTCCGC_L005_R2.fastq.gz
280,../fastq/280_C80GMANXX_GTCCGC_L005_R1.fastq.gz,../fastq/280_C80GMANXX_GTCCGC_L005_R2.fastq.gz
281,../fastq/281_C7JRYANXX_GTGAAA_L005_R1.fastq.gz,../fastq/281_C7JRYANXX_GTGAAA_L005_R2.fastq.gz
281,../fastq/281_C80GMANXX_GTGAAA_L005_R1.fastq.gz,../fastq/281_C80GMANXX_GTGAAA_L005_R2.fastq.gz
282,../fastq/282_C7JRYANXX_GTGGCC_L005_R1.fastq.gz,../fastq/282_C7JRYANXX_GTGGCC_L005_R2.fastq.gz
282,../fastq/282_C80GMANXX_GTGGCC_L005_R1.fastq.gz,../fastq/282_C80GMANXX_GTGGCC_L005_R2.fastq.gz
283,../fastq/283_C7JRYANXX_GTTTCG_L005_R1.fastq.gz,../fastq/283_C7JRYANXX_GTTTCG_L005_R2.fastq.gz
283,../fastq/283_C80GMANXX_GTTTCG_L005_R1.fastq.gz,../fastq/283_C80GMANXX_GTTTCG_L005_R2.fastq.gz
290,../fastq/290_C80GMANXX_CGTACG_L005_R1.fastq.gz,../fastq/290_C80GMANXX_CGTACG_L005_R2.fastq.gz
290,../fastq/290_C85J7ANXX_CGTACG_L006_R1.fastq.gz,../fastq/290_C85J7ANXX_CGTACG_L006_R2.fastq.gz
291,../fastq/291_C80GMANXX_GAGTGG_L006_R1.fastq.gz,../fastq/291_C80GMANXX_GAGTGG_L006_R2.fastq.gz
291,../fastq/291_C85J7ANXX_GAGTGG_L006_R1.fastq.gz,../fastq/291_C85J7ANXX_GAGTGG_L006_R2.fastq.gz
292,../fastq/292_C80GMANXX_ACTGAT_L006_R1.fastq.gz,../fastq/292_C80GMANXX_ACTGAT_L006_R2.fastq.gz
292,../fastq/292_C85J7ANXX_ACTGAT_L006_R1.fastq.gz,../fastq/292_C85J7ANXX_ACTGAT_L006_R2.fastq.gz
293,../fastq/293_C80GMANXX_ATTCCT_L006_R1.fastq.gz,../fastq/293_C80GMANXX_ATTCCT_L006_R2.fastq.gz
293,../fastq/293_C85J7ANXX_ATTCCT_L006_R1.fastq.gz,../fastq/293_C85J7ANXX_ATTCCT_L006_R2.fastq.gz
294,../fastq/294_C80GMANXX_ATCACG_L006_R1.fastq.gz,../fastq/294_C80GMANXX_ATCACG_L006_R2.fastq.gz
294,../fastq/294_C85J7ANXX_ATCACG_L006_R1.fastq.gz,../fastq/294_C85J7ANXX_ATCACG_L006_R2.fastq.gz
295,../fastq/295_C80GMANXX_CGATGT_L006_R1.fastq.gz,../fastq/295_C80GMANXX_CGATGT_L006_R2.fastq.gz
